Record Length,15000,,Source,CH1
Sample Interval,100000.0000000000000,,Second,Volt
Vertical Units,CH1:V,,-715000000.000000000000,1.04000
Vertical Scale,CH1:1.00,,-714900050.0000000001.00,0.96000
Vertical Offset,CH1:-2.00000,,-714800000.000000000-2.00000,0.96000
Horizontal Units,s,,-714700050.000000000000,0.96000
Horizontal Scale,2.5000000000,,-714600000.0000000002.5000000000,0.96000
Model Number,WaveAce112,,-714500050.000000000000,0.96000
Serial Number,LCRY2101C02399,,-714400000.000000000000,0.96000
Software Version,2.07.02.16,,-714300050.000000000000,0.96000
,,,-714200000.000000000000,0.96000
,,,-714100050.000000000000,0.96000
,,,-714000000.000000000000,0.96000
,,,-713900050.000000000000,0.96000
,,,-713800000.000000000000,0.96000
,,,-713700050.000000000000,0.96000
,,,-713600000.000000000000,0.96000
,,,-713500050.000000000000,0.96000
,,,-713400000.000000000000,0.96000
,,,-713300050.000000000000,0.96000
,,,-713200000.000000000000,0.96000
,,,-713100050.000000000000,0.96000
,,,-713000000.000000000000,0.96000
,,,-712900050.000000000000,0.96000
,,,-712800000.000000000000,0.96000
,,,-712700050.000000000000,0.96000
,,,-712600000.000000000000,0.96000
,,,-712500050.000000000000,0.96000
,,,-712400000.000000000000,0.96000
,,,-712300050.000000000000,0.96000
,,,-712200000.000000000000,0.96000
,,,-712100050.000000000000,0.96000
,,,-712000000.000000000000,0.96000
,,,-711900050.000000000000,0.96000
,,,-711800000.000000000000,0.96000
,,,-711700050.000000000000,0.96000
,,,-711600000.000000000000,0.96000
,,,-711500050.000000000000,0.96000
,,,-711400000.000000000000,0.96000
,,,-711300050.000000000000,0.96000
,,,-711200000.000000000000,0.96000
,,,-711100050.000000000000,0.96000
,,,-711000000.000000000000,0.96000
,,,-710900050.000000000000,0.96000
,,,-710800000.000000000000,0.96000
,,,-710700050.000000000000,0.96000
,,,-710600000.000000000000,0.96000
,,,-710500050.000000000000,0.96000
,,,-710400000.000000000000,0.96000
,,,-710300050.000000000000,0.96000
,,,-710200000.000000000000,0.96000
,,,-710100050.000000000000,0.96000
,,,-710000000.000000000000,1.04000
,,,-709900050.000000000000,1.04000
,,,-709800000.000000000000,0.96000
,,,-709700050.000000000000,1.00000
,,,-709600000.000000000000,0.96000
,,,-709500050.000000000000,1.00000
,,,-709400000.000000000000,1.04000
,,,-709300050.000000000000,1.08000
,,,-709200000.000000000000,1.00000
,,,-709100050.000000000000,1.00000
,,,-709000000.000000000000,1.00000
,,,-708900050.000000000000,1.00000
,,,-708800000.000000000000,1.00000
,,,-708700050.000000000000,1.00000
,,,-708600000.000000000000,0.96000
,,,-708500050.000000000000,1.04000
,,,-708400000.000000000000,1.04000
,,,-708300050.000000000000,1.00000
,,,-708200000.000000000000,1.04000
,,,-708100050.000000000000,1.04000
,,,-708000000.000000000000,1.00000
,,,-707900050.000000000000,1.04000
,,,-707800000.000000000000,1.00000
,,,-707700050.000000000000,1.00000
,,,-707600000.000000000000,1.08000
,,,-707500050.000000000000,1.04000
,,,-707400000.000000000000,1.00000
,,,-707300050.000000000000,1.00000
,,,-707200000.000000000000,1.00000
,,,-707100050.000000000000,1.00000
,,,-707000000.000000000000,1.00000
,,,-706900050.000000000000,1.00000
,,,-706800000.000000000000,1.00000
,,,-706700050.000000000000,1.00000
,,,-706600000.000000000000,1.00000
,,,-706500050.000000000000,1.04000
,,,-706400000.000000000000,1.08000
,,,-706300050.000000000000,1.00000
,,,-706200000.000000000000,1.00000
,,,-706100050.000000000000,1.00000
,,,-706000000.000000000000,1.00000
,,,-705900050.000000000000,1.04000
,,,-705800000.000000000000,1.00000
,,,-705700050.000000000000,1.00000
,,,-705600000.000000000000,1.08000
,,,-705500050.000000000000,1.00000
,,,-705400000.000000000000,1.04000
,,,-705300050.000000000000,1.04000
,,,-705200000.000000000000,1.08000
,,,-705100050.000000000000,1.08000
,,,-705000000.000000000000,1.04000
,,,-704900050.000000000000,1.00000
,,,-704800000.000000000000,0.96000
,,,-704700050.000000000000,1.00000
,,,-704600000.000000000000,1.00000
,,,-704500050.000000000000,0.96000
,,,-704400000.000000000000,0.92000
,,,-704300050.000000000000,0.96000
,,,-704200000.000000000000,1.00000
,,,-704100050.000000000000,0.96000
,,,-704000000.000000000000,1.08000
,,,-703900050.000000000000,1.04000
,,,-703800000.000000000000,0.96000
,,,-703700050.000000000000,1.04000
,,,-703600000.000000000000,1.00000
,,,-703500050.000000000000,1.04000
,,,-703400000.000000000000,0.96000
,,,-703300050.000000000000,1.00000
,,,-703200000.000000000000,1.04000
,,,-703100050.000000000000,1.04000
,,,-703000000.000000000000,1.00000
,,,-702900050.000000000000,0.96000
,,,-702800000.000000000000,1.00000
,,,-702700050.000000000000,1.04000
,,,-702600000.000000000000,0.92000
,,,-702500050.000000000000,1.00000
,,,-702400000.000000000000,1.00000
,,,-702300050.000000000000,1.04000
,,,-702200000.000000000000,0.92000
,,,-702100050.000000000000,1.00000
,,,-702000000.000000000000,1.00000
,,,-701900050.000000000000,0.96000
,,,-701800000.000000000000,0.92000
,,,-701700050.000000000000,1.00000
,,,-701600000.000000000000,0.92000
,,,-701500050.000000000000,0.96000
,,,-701400000.000000000000,1.00000
,,,-701300050.000000000000,1.00000
,,,-701200000.000000000000,1.04000
,,,-701100050.000000000000,1.08000
,,,-701000000.000000000000,1.04000
,,,-700900050.000000000000,1.04000
,,,-700800000.000000000000,1.04000
,,,-700700050.000000000000,1.08000
,,,-700600000.000000000000,1.00000
,,,-700500050.000000000000,0.92000
,,,-700400000.000000000000,1.00000
,,,-700300050.000000000000,1.00000
,,,-700200000.000000000000,0.92000
,,,-700100050.000000000000,0.92000
,,,-700000000.000000000000,1.00000
,,,-699900050.000000000000,0.96000
,,,-699800000.000000000000,1.04000
,,,-699700050.000000000000,0.96000
,,,-699600000.000000000000,1.00000
,,,-699500050.000000000000,0.96000
,,,-699400000.000000000000,0.96000
,,,-699300050.000000000000,1.00000
,,,-699200000.000000000000,1.00000
,,,-699100050.000000000000,0.92000
,,,-699000000.000000000000,1.04000
,,,-698900050.000000000000,0.96000
,,,-698800000.000000000000,0.92000
,,,-698700050.000000000000,1.00000
,,,-698600000.000000000000,1.00000
,,,-698500050.000000000000,1.04000
,,,-698400000.000000000000,1.00000
,,,-698300050.000000000000,0.96000
,,,-698200000.000000000000,1.00000
,,,-698100050.000000000000,1.00000
,,,-698000000.000000000000,1.04000
,,,-697900050.000000000000,1.00000
,,,-697800000.000000000000,1.00000
,,,-697700050.000000000000,1.00000
,,,-697600000.000000000000,1.04000
,,,-697500050.000000000000,0.96000
,,,-697400000.000000000000,0.96000
,,,-697300050.000000000000,0.96000
,,,-697200000.000000000000,1.00000
,,,-697100050.000000000000,1.00000
,,,-697000000.000000000000,0.96000
,,,-696900050.000000000000,1.00000
,,,-696800000.000000000000,1.00000
,,,-696700050.000000000000,1.04000
,,,-696600000.000000000000,1.00000
,,,-696500050.000000000000,1.04000
,,,-696400000.000000000000,0.92000
,,,-696300050.000000000000,1.00000
,,,-696200000.000000000000,1.00000
,,,-696100050.000000000000,1.00000
,,,-696000000.000000000000,0.96000
,,,-695900050.000000000000,1.04000
,,,-695800000.000000000000,1.00000
,,,-695700050.000000000000,0.92000
,,,-695600000.000000000000,1.00000
,,,-695500050.000000000000,1.08000
,,,-695400000.000000000000,1.00000
,,,-695300050.000000000000,0.96000
,,,-695200000.000000000000,1.00000
,,,-695100050.000000000000,1.00000
,,,-695000000.000000000000,1.00000
,,,-694900050.000000000000,1.04000
,,,-694800000.000000000000,1.00000
,,,-694700050.000000000000,1.04000
,,,-694600000.000000000000,1.00000
,,,-694500050.000000000000,1.04000
,,,-694400000.000000000000,1.00000
,,,-694300050.000000000000,1.00000
,,,-694200000.000000000000,1.00000
,,,-694100050.000000000000,1.00000
,,,-694000000.000000000000,1.00000
,,,-693900050.000000000000,1.00000
,,,-693800000.000000000000,1.00000
,,,-693700050.000000000000,1.00000
,,,-693600000.000000000000,0.92000
,,,-693500050.000000000000,0.92000
,,,-693400000.000000000000,0.96000
,,,-693300050.000000000000,1.00000
,,,-693200000.000000000000,1.00000
,,,-693100050.000000000000,0.96000
,,,-693000000.000000000000,1.00000
,,,-692900050.000000000000,1.00000
,,,-692800000.000000000000,1.00000
,,,-692700050.000000000000,0.96000
,,,-692600000.000000000000,1.04000
,,,-692500050.000000000000,1.04000
,,,-692400000.000000000000,1.00000
,,,-692300050.000000000000,1.04000
,,,-692200000.000000000000,0.96000
,,,-692100050.000000000000,1.00000
,,,-692000000.000000000000,1.04000
,,,-691900050.000000000000,0.96000
,,,-691800000.000000000000,1.00000
,,,-691700050.000000000000,1.04000
,,,-691600000.000000000000,1.00000
,,,-691500050.000000000000,1.00000
,,,-691400000.000000000000,1.04000
,,,-691300050.000000000000,0.96000
,,,-691200000.000000000000,1.00000
,,,-691100050.000000000000,1.00000
,,,-691000000.000000000000,1.00000
,,,-690900050.000000000000,1.00000
,,,-690800000.000000000000,1.08000
,,,-690700050.000000000000,1.00000
,,,-690600000.000000000000,1.08000
,,,-690500050.000000000000,1.04000
,,,-690400000.000000000000,1.00000
,,,-690300050.000000000000,1.00000
,,,-690200000.000000000000,1.04000
,,,-690100050.000000000000,1.04000
,,,-690000000.000000000000,1.04000
,,,-689900050.000000000000,1.04000
,,,-689800000.000000000000,1.00000
,,,-689700050.000000000000,1.00000
,,,-689600000.000000000000,0.96000
,,,-689500050.000000000000,1.04000
,,,-689400000.000000000000,0.96000
,,,-689300050.000000000000,0.96000
,,,-689200000.000000000000,0.96000
,,,-689100050.000000000000,1.00000
,,,-689000000.000000000000,1.04000
,,,-688900050.000000000000,1.04000
,,,-688800000.000000000000,0.96000
,,,-688700050.000000000000,1.04000
,,,-688600000.000000000000,1.00000
,,,-688500050.000000000000,1.00000
,,,-688400000.000000000000,1.04000
,,,-688300050.000000000000,1.04000
,,,-688200000.000000000000,1.00000
,,,-688100050.000000000000,0.96000
,,,-688000000.000000000000,0.92000
,,,-687900050.000000000000,1.04000
,,,-687800000.000000000000,1.00000
,,,-687700050.000000000000,1.00000
,,,-687600000.000000000000,1.00000
,,,-687500050.000000000000,1.00000
,,,-687400000.000000000000,1.04000
,,,-687300050.000000000000,1.00000
,,,-687200000.000000000000,1.00000
,,,-687100050.000000000000,1.00000
,,,-687000000.000000000000,1.00000
,,,-686900050.000000000000,0.96000
,,,-686800000.000000000000,1.04000
,,,-686700050.000000000000,1.00000
,,,-686600000.000000000000,0.96000
,,,-686500050.000000000000,0.96000
,,,-686400000.000000000000,1.04000
,,,-686300050.000000000000,1.04000
,,,-686200000.000000000000,0.96000
,,,-686100050.000000000000,1.08000
,,,-686000000.000000000000,1.00000
,,,-685900050.000000000000,1.00000
,,,-685800000.000000000000,1.00000
,,,-685700050.000000000000,1.00000
,,,-685600000.000000000000,1.00000
,,,-685500050.000000000000,1.00000
,,,-685400000.000000000000,1.00000
,,,-685300050.000000000000,1.00000
,,,-685200000.000000000000,0.96000
,,,-685100050.000000000000,0.96000
,,,-685000000.000000000000,1.00000
,,,-684900050.000000000000,1.00000
,,,-684800000.000000000000,1.00000
,,,-684700050.000000000000,1.00000
,,,-684600000.000000000000,1.00000
,,,-684500050.000000000000,1.00000
,,,-684400000.000000000000,1.04000
,,,-684300050.000000000000,1.04000
,,,-684200000.000000000000,1.00000
,,,-684100050.000000000000,1.08000
,,,-684000000.000000000000,1.00000
,,,-683900050.000000000000,1.08000
,,,-683800000.000000000000,1.00000
,,,-683700050.000000000000,1.00000
,,,-683600000.000000000000,1.00000
,,,-683500050.000000000000,1.00000
,,,-683400000.000000000000,1.00000
,,,-683300050.000000000000,1.00000
,,,-683200000.000000000000,1.00000
,,,-683100050.000000000000,1.00000
,,,-683000000.000000000000,0.96000
,,,-682900050.000000000000,1.00000
,,,-682800000.000000000000,1.00000
,,,-682700050.000000000000,1.00000
,,,-682600000.000000000000,1.00000
,,,-682500050.000000000000,1.00000
,,,-682400000.000000000000,1.04000
,,,-682300050.000000000000,0.96000
,,,-682200000.000000000000,1.04000
,,,-682100050.000000000000,1.00000
,,,-682000000.000000000000,1.08000
,,,-681900050.000000000000,1.04000
,,,-681800000.000000000000,1.04000
,,,-681700050.000000000000,1.00000
,,,-681600000.000000000000,1.00000
,,,-681500050.000000000000,0.96000
,,,-681400000.000000000000,1.04000
,,,-681300050.000000000000,0.96000
,,,-681200000.000000000000,1.00000
,,,-681100050.000000000000,1.00000
,,,-681000000.000000000000,1.00000
,,,-680900050.000000000000,1.00000
,,,-680800000.000000000000,0.96000
,,,-680700050.000000000000,1.00000
,,,-680600000.000000000000,1.04000
,,,-680500050.000000000000,1.00000
,,,-680400000.000000000000,1.04000
,,,-680300050.000000000000,1.00000
,,,-680200000.000000000000,1.04000
,,,-680100050.000000000000,1.04000
,,,-680000000.000000000000,1.00000
,,,-679900050.000000000000,1.00000
,,,-679800000.000000000000,1.04000
,,,-679700050.000000000000,0.96000
,,,-679600000.000000000000,1.00000
,,,-679500050.000000000000,1.00000
,,,-679400000.000000000000,1.00000
,,,-679300050.000000000000,1.00000
,,,-679200000.000000000000,1.04000
,,,-679100050.000000000000,1.00000
,,,-679000000.000000000000,1.04000
,,,-678900050.000000000000,1.00000
,,,-678800000.000000000000,1.00000
,,,-678700050.000000000000,1.00000
,,,-678600000.000000000000,1.00000
,,,-678500050.000000000000,0.96000
,,,-678400000.000000000000,1.00000
,,,-678300050.000000000000,1.00000
,,,-678200000.000000000000,1.00000
,,,-678100050.000000000000,0.92000
,,,-678000000.000000000000,1.00000
,,,-677900050.000000000000,1.00000
,,,-677800000.000000000000,0.96000
,,,-677700050.000000000000,1.00000
,,,-677600000.000000000000,1.04000
,,,-677500050.000000000000,1.00000
,,,-677400000.000000000000,1.00000
,,,-677300050.000000000000,1.08000
,,,-677200000.000000000000,1.04000
,,,-677100050.000000000000,1.00000
,,,-677000000.000000000000,1.00000
,,,-676900050.000000000000,1.00000
,,,-676800000.000000000000,1.00000
,,,-676700050.000000000000,1.04000
,,,-676600000.000000000000,1.00000
,,,-676500050.000000000000,1.04000
,,,-676400000.000000000000,0.92000
,,,-676300050.000000000000,1.00000
,,,-676200000.000000000000,1.00000
,,,-676100050.000000000000,1.00000
,,,-676000000.000000000000,0.92000
,,,-675900050.000000000000,1.04000
,,,-675800000.000000000000,1.08000
,,,-675700050.000000000000,1.00000
,,,-675600000.000000000000,1.00000
,,,-675500050.000000000000,1.04000
,,,-675400000.000000000000,0.96000
,,,-675300050.000000000000,0.96000
,,,-675200000.000000000000,1.00000
,,,-675100050.000000000000,1.00000
,,,-675000000.000000000000,1.08000
,,,-674900050.000000000000,1.00000
,,,-674800000.000000000000,1.00000
,,,-674700050.000000000000,1.00000
,,,-674600000.000000000000,1.08000
,,,-674500050.000000000000,1.04000
,,,-674400000.000000000000,1.04000
,,,-674300050.000000000000,1.04000
,,,-674200000.000000000000,0.96000
,,,-674100050.000000000000,1.00000
,,,-674000000.000000000000,1.00000
,,,-673900050.000000000000,1.04000
,,,-673800000.000000000000,1.00000
,,,-673700050.000000000000,1.04000
,,,-673600000.000000000000,1.00000
,,,-673500050.000000000000,1.00000
,,,-673400000.000000000000,0.96000
,,,-673300050.000000000000,0.96000
,,,-673200000.000000000000,1.04000
,,,-673100050.000000000000,1.00000
,,,-673000000.000000000000,0.96000
,,,-672900050.000000000000,1.00000
,,,-672800000.000000000000,1.04000
,,,-672700050.000000000000,1.00000
,,,-672600000.000000000000,1.04000
,,,-672500050.000000000000,0.96000
,,,-672400000.000000000000,1.04000
,,,-672300050.000000000000,1.00000
,,,-672200000.000000000000,1.00000
,,,-672100050.000000000000,1.00000
,,,-672000000.000000000000,1.00000
,,,-671900050.000000000000,0.96000
,,,-671800000.000000000000,0.96000
,,,-671700050.000000000000,1.04000
,,,-671600000.000000000000,1.04000
,,,-671500050.000000000000,1.00000
,,,-671400000.000000000000,1.00000
,,,-671300050.000000000000,1.00000
,,,-671200000.000000000000,1.00000
,,,-671100050.000000000000,1.00000
,,,-671000000.000000000000,1.00000
,,,-670900050.000000000000,1.04000
,,,-670800000.000000000000,0.96000
,,,-670700050.000000000000,0.96000
,,,-670600000.000000000000,1.04000
,,,-670500050.000000000000,1.04000
,,,-670400000.000000000000,1.00000
,,,-670300050.000000000000,1.00000
,,,-670200000.000000000000,1.00000
,,,-670100050.000000000000,1.00000
,,,-670000000.000000000000,1.08000
,,,-669900050.000000000000,1.00000
,,,-669800000.000000000000,1.00000
,,,-669700050.000000000000,1.00000
,,,-669600000.000000000000,1.00000
,,,-669500050.000000000000,0.92000
,,,-669400000.000000000000,1.04000
,,,-669300050.000000000000,1.00000
,,,-669200000.000000000000,1.00000
,,,-669100050.000000000000,1.04000
,,,-669000000.000000000000,1.00000
,,,-668900050.000000000000,0.96000
,,,-668800000.000000000000,1.00000
,,,-668700050.000000000000,0.96000
,,,-668600000.000000000000,1.00000
,,,-668500050.000000000000,1.04000
,,,-668400000.000000000000,0.96000
,,,-668300050.000000000000,0.96000
,,,-668200000.000000000000,1.00000
,,,-668100050.000000000000,0.96000
,,,-668000000.000000000000,1.04000
,,,-667900050.000000000000,1.04000
,,,-667800000.000000000000,1.08000
,,,-667700050.000000000000,1.00000
,,,-667600000.000000000000,0.96000
,,,-667500050.000000000000,1.00000
,,,-667400000.000000000000,1.00000
,,,-667300050.000000000000,0.92000
,,,-667200000.000000000000,0.96000
,,,-667100050.000000000000,0.96000
,,,-667000000.000000000000,1.00000
,,,-666900050.000000000000,1.00000
,,,-666800000.000000000000,0.92000
,,,-666700050.000000000000,0.96000
,,,-666600000.000000000000,1.04000
,,,-666500050.000000000000,1.00000
,,,-666400000.000000000000,1.08000
,,,-666300050.000000000000,1.00000
,,,-666200000.000000000000,1.04000
,,,-666100050.000000000000,1.00000
,,,-666000000.000000000000,1.00000
,,,-665900050.000000000000,0.96000
,,,-665800000.000000000000,1.00000
,,,-665700050.000000000000,1.04000
,,,-665600000.000000000000,1.08000
,,,-665500050.000000000000,0.92000
,,,-665400000.000000000000,1.04000
,,,-665300050.000000000000,1.08000
,,,-665200000.000000000000,1.00000
,,,-665100050.000000000000,1.00000
,,,-665000000.000000000000,1.04000
,,,-664900050.000000000000,1.00000
,,,-664800000.000000000000,1.04000
,,,-664700050.000000000000,0.92000
,,,-664600000.000000000000,0.96000
,,,-664500050.000000000000,0.96000
,,,-664400000.000000000000,0.92000
,,,-664300050.000000000000,0.96000
,,,-664200000.000000000000,1.04000
,,,-664100050.000000000000,0.96000
,,,-664000000.000000000000,1.00000
,,,-663900050.000000000000,1.00000
,,,-663800000.000000000000,0.96000
,,,-663700050.000000000000,1.00000
,,,-663600000.000000000000,1.04000
,,,-663500050.000000000000,1.00000
,,,-663400000.000000000000,1.00000
,,,-663300050.000000000000,1.04000
,,,-663200000.000000000000,1.00000
,,,-663100050.000000000000,1.00000
,,,-663000000.000000000000,1.00000
,,,-662900050.000000000000,1.00000
,,,-662800000.000000000000,1.00000
,,,-662700050.000000000000,0.92000
,,,-662600000.000000000000,1.00000
,,,-662500050.000000000000,1.00000
,,,-662400000.000000000000,0.96000
,,,-662300050.000000000000,1.00000
,,,-662200000.000000000000,1.00000
,,,-662100050.000000000000,1.00000
,,,-662000000.000000000000,0.96000
,,,-661900050.000000000000,0.96000
,,,-661800000.000000000000,1.00000
,,,-661700050.000000000000,1.04000
,,,-661600000.000000000000,1.00000
,,,-661500050.000000000000,1.04000
,,,-661400000.000000000000,1.04000
,,,-661300050.000000000000,1.04000
,,,-661200000.000000000000,1.04000
,,,-661100050.000000000000,1.00000
,,,-661000000.000000000000,1.00000
,,,-660900050.000000000000,1.00000
,,,-660800000.000000000000,1.04000
