Record Length,30000,,Source,CH1,CH2
Sample Interval,0.0001000000000,,Second,Volt,Volt
Vertical Units,CH1:V CH2:V,,-4.50000000000,0.79336,-0.08000
Vertical Scale,CH1:0.42 CH2:1.00,,-4.49990000000,0.81024,-0.08000
Vertical Offset,CH1:-2.36320 CH2:-2.68000,,-4.49979950000,0.81024,-0.08000
Horizontal Units,s,,-4.49970000000,0.81024,-0.04000
Horizontal Scale,0.2500000000,,-4.49960000000,0.79336,-0.04000
Model Number,WaveAce212,,-4.49950000000,0.79336,-0.04000
Serial Number,LCRY2101C02669,,-4.49939950000,0.79336,-0.04000
Software Version,2.06.02.19,,-4.49930000000,0.79336,-0.08000
,,,-4.49920000000,0.79336,-0.08000
,,,-4.49909950000,0.81024,-0.04000
,,,-4.49900000000,0.79336,-0.04000
,,,-4.49890000000,0.79336,-0.04000
,,,-4.49880000000,0.81024,-0.04000
,,,-4.49869950000,0.81024,-0.04000
,,,-4.49860000000,0.81024,-0.08000
,,,-4.49850000000,0.79336,-0.08000
,,,-4.49839950000,0.79336,-0.04000
,,,-4.49830000000,0.81024,-0.08000
,,,-4.49820000000,0.79336,-0.04000
,,,-4.49810000000,0.79336,-0.04000
,,,-4.49799950000,0.81024,-0.08000
,,,-4.49790000000,0.81024,-0.04000
,,,-4.49780000000,0.81024,-0.04000
,,,-4.49769950000,0.81024,-0.04000
,,,-4.49760000000,0.79336,-0.04000
,,,-4.49750000000,0.81024,-0.04000
,,,-4.49740000000,0.81024,-0.04000
,,,-4.49729950000,0.79336,-0.08000
,,,-4.49720000000,0.79336,-0.04000
,,,-4.49710000000,0.81024,-0.08000
,,,-4.49699950000,0.81024,-0.04000
,,,-4.49690000000,0.81024,-0.08000
,,,-4.49680000000,0.81024,-0.04000
,,,-4.49670000000,0.81024,-0.04000
,,,-4.49659950000,0.81024,-0.04000
,,,-4.49650000000,0.81024,-0.04000
,,,-4.49640000000,0.81024,-0.04000
,,,-4.49629950000,0.79336,-0.04000
,,,-4.49620000000,0.81024,-0.08000
,,,-4.49610000000,0.81024,-0.04000
,,,-4.49600000000,0.79336,-0.08000
,,,-4.49589950000,0.81024,-0.04000
,,,-4.49580000000,0.79336,-0.04000
,,,-4.49570000000,0.79336,-0.08000
,,,-4.49559950000,0.79336,-0.04000
,,,-4.49550000000,0.81024,-0.04000
,,,-4.49540000000,0.81024,-0.04000
,,,-4.49530000000,0.81024,-0.04000
,,,-4.49519950000,0.81024,-0.04000
,,,-4.49510000000,0.79336,-0.08000
,,,-4.49500000000,0.81024,-0.04000
,,,-4.49489950000,0.81024,-0.04000
,,,-4.49480000000,0.81024,-0.08000
,,,-4.49470000000,0.81024,-0.08000
,,,-4.49460000000,0.81024,-0.08000
,,,-4.49449950000,0.79336,-0.04000
,,,-4.49440000000,0.81024,-0.04000
,,,-4.49430000000,0.81024,-0.04000
,,,-4.49420000000,0.79336,-0.04000
,,,-4.49410000000,0.81024,-0.08000
,,,-4.49400000000,0.81024,-0.08000
,,,-4.49390000000,0.81024,-0.08000
,,,-4.49379950000,0.81024,-0.04000
,,,-4.49370000000,0.81024,-0.08000
,,,-4.49360000000,0.81024,-0.04000
,,,-4.49350000000,0.79336,-0.04000
,,,-4.49340000000,0.81024,-0.04000
,,,-4.49330000000,0.81024,-0.04000
,,,-4.49320000000,0.81024,-0.04000
,,,-4.49309950000,0.81024,-0.08000
,,,-4.49300000000,0.81024,-0.04000
,,,-4.49290000000,0.81024,-0.08000
,,,-4.49280000000,0.79336,-0.04000
,,,-4.49270000000,0.81024,-0.04000
,,,-4.49260000000,0.81024,-0.08000
,,,-4.49250000000,0.81024,-0.04000
,,,-4.49239950000,0.81024,-0.08000
,,,-4.49230000000,0.79336,-0.04000
,,,-4.49220000000,0.79336,-0.04000
,,,-4.49210000000,0.81024,-0.08000
,,,-4.49200000000,0.79336,-0.08000
,,,-4.49190000000,0.81024,-0.08000
,,,-4.49180000000,0.79336,-0.04000
,,,-4.49169950000,0.81024,-0.04000
,,,-4.49160000000,0.79336,-0.08000
,,,-4.49150000000,0.81024,-0.04000
,,,-4.49140000000,0.81024,-0.08000
,,,-4.49130000000,0.81024,-0.04000
,,,-4.49120000000,0.79336,-0.08000
,,,-4.49110000000,0.81024,-0.04000
,,,-4.49099950000,0.81024,-0.08000
,,,-4.49090000000,0.79336,-0.04000
,,,-4.49080000000,0.81024,-0.04000
,,,-4.49070000000,0.81024,-0.08000
,,,-4.49060000000,0.81024,-0.04000
,,,-4.49050000000,0.81024,-0.08000
,,,-4.49040000000,0.81024,-0.08000
,,,-4.49029950000,0.81024,-0.08000
,,,-4.49020000000,0.81024,-0.08000
,,,-4.49010000000,0.81024,-0.08000
,,,-4.49000000000,0.79336,-0.08000
,,,-4.48990000000,0.79336,-0.08000
,,,-4.48980000000,0.79336,-0.04000
,,,-4.48970000000,0.79336,-0.04000
,,,-4.48959950000,0.79336,-0.04000
,,,-4.48950000000,0.79336,-0.08000
,,,-4.48940000000,0.81024,-0.08000
,,,-4.48930000000,0.79336,-0.04000
,,,-4.48920000000,0.79336,-0.08000
,,,-4.48910000000,0.79336,-0.04000
,,,-4.48900000000,0.79336,-0.04000
,,,-4.48889950000,0.79336,-0.04000
,,,-4.48880000000,0.79336,-0.04000
,,,-4.48870000000,0.81024,-0.08000
,,,-4.48860000000,0.81024,-0.08000
,,,-4.48850000000,0.79336,-0.04000
,,,-4.48840000000,0.79336,-0.04000
,,,-4.48830000000,0.79336,-0.04000
,,,-4.48819950000,0.79336,-0.08000
,,,-4.48810000000,0.81024,-0.08000
,,,-4.48800000000,0.81024,-0.04000
,,,-4.48790000000,0.79336,-0.08000
,,,-4.48780000000,0.79336,-0.04000
,,,-4.48770000000,0.81024,-0.08000
,,,-4.48760000000,0.81024,-0.04000
,,,-4.48749950000,0.79336,-0.04000
,,,-4.48740000000,0.81024,-0.04000
,,,-4.48730000000,0.81024,-0.04000
,,,-4.48720000000,0.81024,-0.04000
,,,-4.48710000000,0.79336,-0.08000
,,,-4.48700000000,0.79336,-0.04000
,,,-4.48690000000,0.81024,-0.04000
,,,-4.48679950000,0.79336,-0.08000
,,,-4.48670000000,0.81024,-0.04000
,,,-4.48660000000,0.81024,-0.04000
,,,-4.48650000000,0.82712,-0.08000
,,,-4.48639950000,0.79336,-0.04000
,,,-4.48630000000,0.81024,-0.04000
,,,-4.48620000000,0.81024,-0.04000
,,,-4.48609950000,0.81024,-0.08000
,,,-4.48600000000,0.79336,-0.08000
,,,-4.48590000000,0.81024,-0.08000
,,,-4.48580000000,0.81024,-0.04000
,,,-4.48569950000,0.79336,-0.04000
,,,-4.48560000000,0.81024,-0.04000
,,,-4.48550000000,0.81024,-0.08000
,,,-4.48539950000,0.79336,-0.08000
,,,-4.48530000000,0.79336,-0.04000
,,,-4.48520000000,0.81024,-0.08000
,,,-4.48510000000,0.81024,-0.04000
,,,-4.48499950000,0.81024,-0.08000
,,,-4.48490000000,0.81024,-0.08000
,,,-4.48480000000,0.81024,-0.08000
,,,-4.48469950000,0.79336,-0.04000
,,,-4.48460000000,0.81024,-0.04000
,,,-4.48450000000,0.81024,-0.04000
,,,-4.48440000000,0.81024,-0.04000
,,,-4.48429950000,0.81024,-0.04000
,,,-4.48420000000,0.81024,-0.04000
,,,-4.48410000000,0.81024,-0.08000
,,,-4.48399950000,0.79336,-0.08000
,,,-4.48390000000,0.81024,-0.04000
,,,-4.48380000000,0.81024,-0.08000
,,,-4.48370000000,0.81024,-0.04000
,,,-4.48359950000,0.79336,-0.08000
,,,-4.48350000000,0.79336,-0.08000
,,,-4.48340000000,0.79336,-0.04000
,,,-4.48329950000,0.79336,-0.08000
,,,-4.48320000000,0.81024,-0.04000
,,,-4.48310000000,0.81024,-0.04000
,,,-4.48300000000,0.81024,-0.04000
,,,-4.48289950000,0.79336,-0.08000
,,,-4.48280000000,0.79336,-0.04000
,,,-4.48270000000,0.81024,-0.04000
,,,-4.48259950000,0.81024,-0.08000
,,,-4.48250000000,0.79336,-0.04000
,,,-4.48240000000,0.79336,-0.08000
,,,-4.48230000000,0.81024,-0.08000
,,,-4.48219950000,0.81024,-0.04000
,,,-4.48210000000,0.81024,-0.04000
,,,-4.48200000000,0.79336,-0.04000
,,,-4.48189950000,0.79336,-0.04000
,,,-4.48180000000,0.81024,-0.08000
,,,-4.48170000000,0.81024,-0.04000
,,,-4.48160000000,0.81024,-0.08000
,,,-4.48149950000,0.81024,-0.08000
,,,-4.48140000000,0.81024,-0.04000
,,,-4.48130000000,0.79336,-0.08000
,,,-4.48119950000,0.81024,-0.04000
,,,-4.48110000000,0.79336,-0.04000
,,,-4.48100000000,0.79336,-0.08000
,,,-4.48090000000,0.81024,-0.08000
,,,-4.48079950000,0.79336,-0.08000
,,,-4.48070000000,0.81024,-0.04000
,,,-4.48060000000,0.79336,-0.04000
,,,-4.48049950000,0.79336,-0.08000
,,,-4.48040000000,0.79336,-0.08000
,,,-4.48030000000,0.79336,-0.08000
,,,-4.48020000000,0.79336,-0.08000
,,,-4.48009950000,0.79336,-0.08000
,,,-4.48000000000,0.81024,-0.04000
,,,-4.47990000000,0.79336,-0.04000
,,,-4.47979950000,0.79336,-0.04000
