Record Length,30000,,Source,CH1,CH2
Sample Interval,0.0010000000625,,Second,Volt,Volt
Vertical Units,CH1:V CH2:V,,-17.90000125000,0.05440,-0.05440
Vertical Scale,CH1:0.68 CH2:0.68,,-17.89900000000,0.05440,-0.05440
Vertical Offset,CH1:-2.31200 CH2:-2.31200,,-17.89800125000,0.05440,-0.05440
Horizontal Units,s,,-17.89700125000,0.05440,-0.05440
Horizontal Scale,2.5000000000,,-17.89600000000,0.05440,-0.05440
Model Number,WaveAce212,,-17.89500000000,0.05440,-0.10880
Serial Number,LCRY2101C02669,,-17.89400125000,0.05440,-0.05440
Software Version,2.06.02.19,,-17.89300125000,0.05440,-0.05440
,,,-17.89200000000,0.00,-0.05440
,,,-17.89100125000,0.05440,-0.05440
,,,-17.89000125000,0.05440,-0.05440
,,,-17.88900000000,0.05440,-0.02720
,,,-17.88800000000,0.05440,-0.02720
,,,-17.88700125000,0.05440,-0.02720
,,,-17.88600125000,0.05440,-0.02720
,,,-17.88500000000,0.05440,-0.05440
,,,-17.88400125000,0.05440,-0.02720
,,,-17.88300125000,0.08160,-0.05440
,,,-17.88200000000,0.05440,-0.05440
,,,-17.88100000000,0.05440,-0.02720
,,,-17.88000125000,0.05440,-0.02720
,,,-17.87900125000,0.05440,-0.02720
,,,-17.87800000000,0.05440,-0.05440
,,,-17.87700125000,0.05440,-0.02720
,,,-17.87600125000,0.05440,-0.02720
,,,-17.87500000000,0.08160,-0.05440
,,,-17.87400000000,0.05440,-0.05440
,,,-17.87300125000,0.05440,-0.02720
,,,-17.87200125000,0.05440,-0.02720
,,,-17.87100000000,0.05440,-0.02720
,,,-17.87000125000,0.05440,-0.05440
,,,-17.86900125000,0.05440,-0.02720
,,,-17.86800000000,0.05440,-0.02720
,,,-17.86700000000,0.08160,-0.05440
,,,-17.86600125000,0.05440,-0.05440
,,,-17.86500125000,0.05440,-0.02720
,,,-17.86400000000,0.05440,-0.02720
,,,-17.86300125000,0.05440,-0.02720
,,,-17.86200125000,0.05440,-0.05440
,,,-17.86100000000,0.05440,-0.02720
,,,-17.86000000000,0.05440,-0.02720
,,,-17.85900125000,0.08160,-0.05440
,,,-17.85800125000,0.05440,-0.05440
,,,-17.85700000000,0.05440,-0.02720
,,,-17.85600125000,0.05440,-0.02720
,,,-17.85500125000,0.05440,-0.02720
,,,-17.85400000000,0.05440,-0.05440
,,,-17.85300125000,0.05440,-0.02720
,,,-17.85200125000,0.05440,-0.02720
,,,-17.85100125000,0.08160,-0.05440
,,,-17.85000000000,0.05440,-0.05440
,,,-17.84900125000,0.05440,-0.02720
,,,-17.84800125000,0.05440,-0.02720
,,,-17.84700000000,0.05440,-0.02720
,,,-17.84600125000,0.05440,-0.05440
,,,-17.84500125000,0.05440,-0.02720
,,,-17.84400125000,0.05440,-0.02720
,,,-17.84300000000,0.08160,-0.05440
,,,-17.84200125000,0.05440,-0.05440
,,,-17.84100125000,0.05440,-0.02720
,,,-17.84000000000,0.05440,-0.02720
,,,-17.83900125000,0.05440,-0.02720
,,,-17.83800125000,0.05440,-0.05440
,,,-17.83700125000,0.05440,-0.02720
,,,-17.83600000000,0.05440,-0.02720
,,,-17.83500125000,0.08160,-0.05440
,,,-17.83400125000,0.05440,-0.05440
,,,-17.83300000000,0.05440,-0.02720
,,,-17.83200125000,0.05440,-0.02720
,,,-17.83100125000,0.05440,-0.02720
,,,-17.83000000000,0.05440,-0.05440
,,,-17.82900000000,0.05440,-0.02720
,,,-17.82800125000,0.05440,-0.02720
,,,-17.82700125000,0.08160,-0.05440
,,,-17.82600000000,0.05440,-0.05440
,,,-17.82500125000,0.05440,-0.02720
,,,-17.82400125000,0.05440,-0.02720
,,,-17.82300000000,0.05440,-0.02720
,,,-17.82200000000,0.05440,-0.05440
,,,-17.82100125000,0.05440,-0.02720
,,,-17.82000125000,0.05440,-0.02720
,,,-17.81900000000,0.08160,-0.05440
,,,-17.81800125000,0.05440,-0.05440
,,,-17.81700125000,0.05440,-0.02720
,,,-17.81600000000,0.05440,-0.02720
,,,-17.81500000000,0.05440,-0.02720
,,,-17.81400125000,0.05440,-0.05440
,,,-17.81300125000,0.05440,-0.02720
,,,-17.81200000000,0.05440,-0.02720
,,,-17.81100125000,0.08160,-0.05440
,,,-17.81000125000,0.05440,-0.05440
,,,-17.80900000000,0.05440,-0.02720
,,,-17.80800000000,0.05440,-0.02720
,,,-17.80700125000,0.05440,-0.02720
,,,-17.80600125000,0.05440,-0.05440
,,,-17.80500000000,0.05440,-0.02720
,,,-17.80400125000,0.05440,-0.02720
,,,-17.80300125000,0.05440,-0.02720
,,,-17.80200000000,0.05440,-0.02720
,,,-17.80100000000,0.05440,-0.02720
,,,-17.80000125000,0.05440,-0.05440
,,,-17.79900125000,0.00,-0.02720
,,,-17.79800000000,0.00,-0.05440
,,,-17.79700125000,0.05440,-0.05440
,,,-17.79600125000,0.00,-0.02720
,,,-17.79500000000,0.05440,-0.02720
,,,-17.79400125000,0.00,-0.05440
,,,-17.79300125000,0.08160,-0.02720
,,,-17.79200125000,0.05440,-0.05440
,,,-17.79100000000,0.00,-0.02720
,,,-17.79000125000,0.05440,-0.02720
,,,-17.78900125000,0.00,-0.05440
,,,-17.78800000000,0.05440,-0.05440
,,,-17.78700125000,0.05440,-0.05440
,,,-17.78600125000,0.05440,-0.05440
,,,-17.78500125000,0.05440,-0.05440
,,,-17.78400000000,0.05440,-0.05440
,,,-17.78300125000,0.05440,-0.05440
,,,-17.78200125000,0.05440,-0.05440
,,,-17.78100000000,0.05440,-0.02720
,,,-17.78000125000,0.05440,-0.02720
,,,-17.77900125000,0.05440,-0.02720
,,,-17.77800125000,0.05440,-0.05440
,,,-17.77700000000,0.05440,-0.05440
,,,-17.77600125000,0.05440,-0.05440
,,,-17.77500125000,0.05440,-0.02720
,,,-17.77400000000,0.05440,-0.05440
,,,-17.77300125000,0.00,-0.02720
,,,-17.77200125000,0.05440,-0.05440
,,,-17.77100000000,0.05440,-0.05440
,,,-17.77000000000,0.05440,-0.05440
,,,-17.76900125000,0.05440,-0.05440
,,,-17.76800125000,0.00,-0.05440
,,,-17.76700000000,0.05440,-0.05440
,,,-17.76600125000,0.05440,-0.02720
,,,-17.76500125000,0.05440,-0.02720
,,,-17.76400000000,0.00,-0.05440
,,,-17.76300000000,0.05440,-0.05440
,,,-17.76200125000,0.00,-0.02720
,,,-17.76100125000,0.05440,-0.05440
,,,-17.76000000000,0.00,-0.02720
,,,-17.75900125000,0.05440,-0.05440
,,,-17.75800125000,0.00,-0.02720
,,,-17.75700000000,0.05440,-0.05440
,,,-17.75600000000,0.00,-0.02720
,,,-17.75500125000,0.05440,-0.02720
,,,-17.75400125000,0.08160,-0.02720
,,,-17.75300000000,0.05440,-0.02720
,,,-17.75200125000,0.05440,-0.05440
,,,-17.75100125000,0.05440,-0.05440
,,,-17.75000000000,0.05440,-0.05440
,,,-17.74900000000,0.05440,-0.05440
,,,-17.74800125000,0.00,-0.05440
,,,-17.74700125000,0.05440,-0.05440
,,,-17.74600000000,0.05440,-0.05440
,,,-17.74500125000,0.05440,-0.05440
,,,-17.74400125000,0.05440,-0.05440
,,,-17.74300000000,0.05440,-0.05440
,,,-17.74200000000,0.05440,-0.02720
,,,-17.74100125000,0.05440,-0.02720
,,,-17.74000125000,0.00,-0.05440
,,,-17.73900000000,0.00,-0.05440
,,,-17.73800125000,0.00,-0.02720
,,,-17.73700125000,0.05440,-0.05440
,,,-17.73600000000,0.05440,-0.05440
,,,-17.73500000000,0.05440,-0.05440
,,,-17.73400125000,0.00,-0.05440
,,,-17.73300125000,0.00,-0.02720
,,,-17.73200000000,0.05440,-0.02720
,,,-17.73100125000,0.05440,-0.05440
,,,-17.73000125000,0.05440,-0.05440
,,,-17.72900000000,0.05440,-0.05440
,,,-17.72800125000,0.05440,-0.05440
,,,-17.72700125000,0.05440,-0.05440
,,,-17.72600125000,0.05440,-0.05440
,,,-17.72500000000,0.05440,-0.05440
,,,-17.72400125000,0.05440,-0.05440
,,,-17.72300125000,0.05440,-0.02720
,,,-17.72200000000,0.05440,-0.02720
,,,-17.72100125000,0.05440,-0.05440
,,,-17.72000125000,0.05440,-0.05440
,,,-17.71900125000,0.05440,-0.05440
,,,-17.71800000000,0.05440,-0.05440
,,,-17.71700125000,0.05440,-0.02720
,,,-17.71600125000,0.05440,-0.05440
,,,-17.71500000000,0.05440,-0.05440
,,,-17.71400125000,0.05440,-0.05440
,,,-17.71300125000,0.05440,-0.02720
,,,-17.71200000000,0.00,-0.05440
,,,-17.71100000000,0.05440,-0.05440
,,,-17.71000125000,0.00,-0.02720
,,,-17.70900125000,0.05440,-0.02720
,,,-17.70800000000,0.08160,-0.05440
,,,-17.70700125000,0.00,-0.05440
,,,-17.70600125000,0.05440,-0.05440
,,,-17.70500000000,0.05440,-0.05440
,,,-17.70400000000,0.05440,-0.05440
,,,-17.70300125000,0.05440,-0.05440
,,,-17.70200125000,0.05440,-0.05440
,,,-17.70100000000,0.05440,-0.05440
,,,-17.70000125000,0.05440,-0.05440
,,,-17.69900125000,0.05440,-0.05440
,,,-17.69800000000,-0.02720,-0.05440
,,,-17.69700000000,0.05440,-0.05440
,,,-17.69600125000,0.00,-0.05440
,,,-17.69500125000,0.05440,-0.05440
,,,-17.69400000000,0.05440,-0.10880
,,,-17.69300125000,0.05440,-0.05440
,,,-17.69200125000,0.00,-0.05440
,,,-17.69100000000,0.05440,-0.05440
,,,-17.69000000000,0.05440,-0.02720
,,,-17.68900125000,0.05440,-0.05440
,,,-17.68800125000,0.05440,-0.05440
,,,-17.68700000000,0.05440,-0.02720
,,,-17.68600125000,0.05440,-0.05440
,,,-17.68500125000,0.00,-0.05440
,,,-17.68400000000,0.05440,-0.05440
,,,-17.68300000000,0.05440,-0.05440
,,,-17.68200125000,0.00,-0.05440
,,,-17.68100125000,0.05440,-0.05440
,,,-17.68000000000,0.05440,-0.05440
,,,-17.67900125000,0.05440,-0.02720
,,,-17.67800125000,0.05440,-0.05440
,,,-17.67700000000,0.05440,-0.05440
,,,-17.67600000000,0.05440,-0.05440
,,,-17.67500125000,0.05440,-0.02720
,,,-17.67400125000,0.05440,-0.05440
,,,-17.67300000000,0.05440,-0.02720
,,,-17.67200125000,0.05440,-0.05440
,,,-17.67100125000,0.00,-0.02720
,,,-17.67000000000,0.05440,-0.02720
,,,-17.66900125000,0.05440,-0.05440
,,,-17.66800125000,0.08160,-0.05440
,,,-17.66700125000,0.05440,-0.05440
,,,-17.66600000000,0.05440,-0.02720
,,,-17.66500125000,0.05440,-0.05440
,,,-17.66400125000,0.05440,-0.05440
,,,-17.66300000000,0.05440,-0.05440
,,,-17.66200125000,0.05440,-0.02720
,,,-17.66100125000,0.05440,-0.05440
,,,-17.66000125000,0.05440,-0.05440
,,,-17.65900000000,0.05440,-0.05440
,,,-17.65800125000,0.05440,-0.02720
,,,-17.65700125000,0.05440,-0.02720
,,,-17.65600000000,0.00,-0.05440
,,,-17.65500125000,0.05440,-0.02720
,,,-17.65400125000,0.05440,-0.05440
,,,-17.65300125000,0.05440,-0.02720
,,,-17.65200000000,0.05440,-0.02720
,,,-17.65100125000,0.05440,-0.05440
,,,-17.65000125000,0.00,-0.02720
,,,-17.64900000000,0.05440,-0.02720
,,,-17.64800125000,0.00,-0.02720
,,,-17.64700125000,0.05440,-0.05440
,,,-17.64600000000,0.05440,-0.02720
,,,-17.64500000000,0.00,-0.05440
,,,-17.64400125000,0.05440,-0.05440
,,,-17.64300125000,0.05440,-0.05440
,,,-17.64200000000,0.05440,-0.05440
,,,-17.64100125000,0.05440,-0.05440
,,,-17.64000125000,0.00,-0.05440
,,,-17.63900000000,0.05440,-0.02720
,,,-17.63800000000,0.05440,-0.05440
,,,-17.63700125000,0.00,-0.02720
,,,-17.63600125000,0.05440,-0.05440
,,,-17.63500000000,0.00,-0.02720
,,,-17.63400125000,0.08160,-0.02720
,,,-17.63300125000,0.05440,-0.05440
,,,-17.63200000000,0.05440,-0.05440
,,,-17.63100000000,0.05440,-0.05440
,,,-17.63000125000,0.00,-0.05440
,,,-17.62900125000,0.05440,-0.05440
,,,-17.62800000000,0.05440,-0.05440
,,,-17.62700125000,0.00,-0.05440
,,,-17.62600125000,0.05440,-0.02720
,,,-17.62500000000,0.05440,-0.05440
,,,-17.62400000000,0.05440,-0.05440
,,,-17.62300125000,0.05440,-0.05440
,,,-17.62200125000,0.00,-0.02720
,,,-17.62100000000,0.08160,-0.05440
,,,-17.62000125000,0.05440,-0.05440
,,,-17.61900125000,0.05440,-0.05440
,,,-17.61800000000,0.05440,-0.05440
,,,-17.61700000000,0.00,-0.02720
,,,-17.61600125000,0.00,-0.05440
,,,-17.61500125000,0.05440,-0.05440
,,,-17.61400000000,0.05440,-0.02720
,,,-17.61300125000,0.05440,-0.02720
,,,-17.61200125000,0.05440,-0.02720
,,,-17.61100000000,0.05440,-0.05440
,,,-17.61000000000,0.00,-0.02720
,,,-17.60900125000,0.00,-0.05440
,,,-17.60800125000,0.00,-0.05440
,,,-17.60700000000,0.05440,-0.02720
,,,-17.60600125000,0.00,-0.05440
,,,-17.60500125000,0.05440,-0.05440
,,,-17.60400000000,0.05440,-0.05440
,,,-17.60300125000,0.05440,-0.05440
,,,-17.60200125000,0.05440,-0.05440
,,,-17.60100125000,0.05440,-0.05440
,,,-17.60000000000,0.05440,-0.05440
,,,-17.59900125000,0.05440,-0.05440
,,,-17.59800125000,0.05440,-0.05440
,,,-17.59700000000,0.05440,-0.05440
,,,-17.59600125000,0.05440,-0.05440
,,,-17.59500125000,0.05440,-0.05440
,,,-17.59400125000,0.05440,-0.05440
,,,-17.59300000000,0.05440,-0.05440
,,,-17.59200125000,0.05440,-0.02720
,,,-17.59100125000,0.00,-0.02720
,,,-17.59000000000,0.05440,-0.05440
,,,-17.58900125000,0.00,-0.02720
,,,-17.58800125000,0.05440,-0.02720
,,,-17.58700000000,0.05440,-0.05440
,,,-17.58600000000,0.00,-0.05440
,,,-17.58500125000,0.05440,-0.05440
,,,-17.58400125000,0.00,-0.05440
,,,-17.58300000000,0.05440,-0.05440
,,,-17.58200125000,0.00,-0.05440
,,,-17.58100125000,0.00,-0.05440
,,,-17.58000000000,0.05440,-0.02720
,,,-17.57900000000,0.00,-0.05440
,,,-17.57800125000,0.05440,-0.05440
,,,-17.57700125000,0.05440,-0.02720
,,,-17.57600000000,0.00,-0.02720
,,,-17.57500125000,0.05440,-0.02720
,,,-17.57400125000,0.05440,-0.05440
,,,-17.57300000000,0.00,-0.05440
,,,-17.57200000000,0.00,-0.05440
