Record Length,30000,,Source,CH1,CH2
Sample Interval,0.0004000000000,,Second,Volt,Volt
Vertical Units,CH1:V CH2:V,,-6.00000000000,0.32000,-0.03960
Vertical Scale,CH1:1.00 CH2:0.99,,-5.99960000000,0.32000,-0.03960
Vertical Offset,CH1:-0.92000 CH2:-2.25720,,-5.99920000000,0.32000,-0.07920
Horizontal Units,s,,-5.99880000000,0.32000,-0.03960
Horizontal Scale,1.0000000000,,-5.99839950000,0.32000,-0.03960
Model Number,WaveAce212,,-5.99799950000,0.32000,0.00
Serial Number,LCRY2101C02669,,-5.99760000000,0.28000,-0.03960
Software Version,2.06.02.19,,-5.99720000000,0.32000,-0.03960
,,,-5.99680000000,0.32000,-0.03960
,,,-5.99640000000,0.28000,-0.07920
,,,-5.99600000000,0.32000,-0.03960
,,,-5.99559950000,0.32000,-0.03960
,,,-5.99519950000,0.32000,-0.03960
,,,-5.99479950000,0.32000,-0.03960
,,,-5.99440000000,0.32000,-0.07920
,,,-5.99400000000,0.32000,-0.03960
,,,-5.99360000000,0.32000,-0.03960
,,,-5.99320000000,0.28000,-0.03960
,,,-5.99280000000,0.32000,-0.03960
,,,-5.99239950000,0.28000,-0.03960
,,,-5.99199950000,0.32000,-0.03960
,,,-5.99160000000,0.36000,-0.03960
,,,-5.99120000000,0.32000,-0.03960
,,,-5.99080000000,0.32000,-0.03960
,,,-5.99040000000,0.32000,-0.03960
,,,-5.99000000000,0.28000,-0.03960
,,,-5.98959950000,0.32000,-0.03960
,,,-5.98919950000,0.28000,-0.03960
,,,-5.98880000000,0.32000,-0.03960
,,,-5.98840000000,0.36000,-0.03960
,,,-5.98800000000,0.32000,-0.03960
,,,-5.98760000000,0.32000,-0.03960
,,,-5.98720000000,0.32000,-0.03960
,,,-5.98679950000,0.28000,-0.03960
,,,-5.98639950000,0.32000,-0.03960
,,,-5.98600000000,0.28000,-0.03960
,,,-5.98560000000,0.32000,-0.03960
,,,-5.98520000000,0.36000,-0.03960
,,,-5.98480000000,0.32000,-0.03960
,,,-5.98440000000,0.32000,-0.03960
,,,-5.98399950000,0.32000,-0.03960
,,,-5.98359950000,0.28000,-0.03960
,,,-5.98320000000,0.32000,-0.03960
,,,-5.98280000000,0.28000,-0.03960
,,,-5.98240000000,0.32000,-0.03960
,,,-5.98200000000,0.36000,-0.03960
,,,-5.98160000000,0.32000,-0.03960
,,,-5.98119950000,0.32000,-0.03960
,,,-5.98079950000,0.32000,-0.03960
,,,-5.98040000000,0.28000,-0.03960
,,,-5.98000000000,0.32000,-0.03960
,,,-5.97960000000,0.28000,-0.03960
,,,-5.97920000000,0.32000,-0.03960
,,,-5.97880000000,0.36000,-0.03960
,,,-5.97840000000,0.32000,-0.03960
,,,-5.97799950000,0.32000,-0.03960
,,,-5.97759950000,0.32000,-0.03960
,,,-5.97720000000,0.28000,-0.03960
,,,-5.97680000000,0.32000,-0.03960
,,,-5.97640000000,0.28000,-0.03960
,,,-5.97600000000,0.32000,-0.03960
,,,-5.97560000000,0.36000,-0.03960
,,,-5.97519950000,0.32000,-0.03960
,,,-5.97479950000,0.32000,-0.03960
,,,-5.97440000000,0.32000,-0.03960
,,,-5.97400000000,0.28000,-0.03960
,,,-5.97360000000,0.32000,-0.03960
,,,-5.97320000000,0.28000,-0.03960
,,,-5.97280000000,0.32000,-0.03960
,,,-5.97239950000,0.36000,-0.03960
,,,-5.97199950000,0.32000,-0.03960
,,,-5.97160000000,0.32000,-0.03960
,,,-5.97120000000,0.32000,-0.03960
,,,-5.97080000000,0.28000,-0.03960
,,,-5.97040000000,0.32000,-0.03960
,,,-5.97000000000,0.28000,-0.03960
,,,-5.96959950000,0.32000,-0.03960
,,,-5.96919950000,0.36000,-0.03960
,,,-5.96880000000,0.32000,-0.03960
,,,-5.96840000000,0.32000,-0.03960
,,,-5.96800000000,0.32000,-0.03960
,,,-5.96760000000,0.28000,-0.03960
,,,-5.96720000000,0.32000,-0.03960
,,,-5.96679950000,0.28000,-0.03960
,,,-5.96639950000,0.32000,-0.03960
,,,-5.96600000000,0.36000,-0.03960
,,,-5.96560000000,0.32000,-0.03960
,,,-5.96520000000,0.32000,-0.03960
,,,-5.96480000000,0.32000,-0.03960
,,,-5.96440000000,0.28000,-0.03960
,,,-5.96399950000,0.32000,-0.03960
,,,-5.96359950000,0.28000,-0.03960
,,,-5.96319950000,0.32000,-0.03960
,,,-5.96280000000,0.36000,-0.03960
,,,-5.96240000000,0.32000,-0.03960
,,,-5.96200000000,0.32000,-0.03960
,,,-5.96160000000,0.32000,-0.03960
,,,-5.96120000000,0.32000,-0.03960
,,,-5.96079950000,0.32000,-0.03960
,,,-5.96039950000,0.32000,-0.03960
,,,-5.96000000000,0.32000,-0.03960
,,,-5.95960000000,0.28000,-0.03960
,,,-5.95920000000,0.36000,0.00
,,,-5.95880000000,0.32000,-0.03960
,,,-5.95840000000,0.32000,-0.03960
,,,-5.95799950000,0.28000,-0.03960
,,,-5.95759950000,0.32000,-0.03960
,,,-5.95720000000,0.32000,-0.03960
,,,-5.95680000000,0.32000,-0.07920
,,,-5.95640000000,0.32000,-0.03960
,,,-5.95600000000,0.32000,-0.03960
,,,-5.95560000000,0.28000,-0.03960
,,,-5.95519950000,0.32000,-0.03960
,,,-5.95479950000,0.32000,-0.03960
,,,-5.95440000000,0.32000,-0.03960
,,,-5.95400000000,0.32000,-0.03960
,,,-5.95360000000,0.32000,-0.03960
,,,-5.95320000000,0.28000,-0.03960
,,,-5.95280000000,0.28000,-0.03960
,,,-5.95239950000,0.32000,-0.03960
,,,-5.95199950000,0.32000,-0.03960
,,,-5.95160000000,0.32000,-0.03960
,,,-5.95120000000,0.32000,-0.03960
,,,-5.95080000000,0.32000,-0.03960
,,,-5.95040000000,0.32000,-0.03960
,,,-5.95000000000,0.32000,-0.03960
,,,-5.94959950000,0.32000,0.00
,,,-5.94919950000,0.32000,-0.07920
,,,-5.94880000000,0.32000,-0.03960
,,,-5.94840000000,0.32000,-0.07920
,,,-5.94800000000,0.32000,-0.03960
,,,-5.94760000000,0.32000,-0.03960
,,,-5.94720000000,0.32000,0.00
,,,-5.94680000000,0.32000,-0.03960
,,,-5.94639950000,0.32000,-0.03960
,,,-5.94599950000,0.28000,-0.07920
,,,-5.94560000000,0.32000,-0.03960
,,,-5.94520000000,0.32000,-0.03960
,,,-5.94480000000,0.32000,-0.03960
,,,-5.94440000000,0.32000,-0.07920
,,,-5.94400000000,0.32000,-0.03960
,,,-5.94359950000,0.32000,-0.03960
,,,-5.94319950000,0.32000,-0.03960
,,,-5.94280000000,0.28000,-0.03960
,,,-5.94240000000,0.32000,-0.03960
,,,-5.94200000000,0.32000,-0.03960
,,,-5.94160000000,0.32000,-0.03960
,,,-5.94120000000,0.32000,0.00
,,,-5.94079950000,0.32000,-0.03960
,,,-5.94039950000,0.32000,-0.03960
,,,-5.94000000000,0.32000,-0.03960
,,,-5.93960000000,0.32000,-0.03960
,,,-5.93920000000,0.28000,-0.03960
,,,-5.93880000000,0.32000,-0.03960
,,,-5.93840000000,0.32000,-0.03960
,,,-5.93799950000,0.32000,-0.03960
