Record Length,30000,,Source,CH1,CH2
Sample Interval,0.0020000001563,,Second,Volt,Volt
Vertical Units,CH1:V CH2:V,,-30.00000250000,0.00,0.03960
Vertical Scale,CH1:1.00 CH2:0.99,,-29.99800000000,0.00,0.03960
Vertical Offset,CH1:-0.92000 CH2:-2.25720,,-29.99600250000,0.00,0.07920
Horizontal Units,s,,-29.99400250000,0.00,0.03960
Horizontal Scale,5.0000000000,,-29.99200000000,0.00,0.03960
Model Number,WaveAce212,,-29.99000250000,0.00,0.07920
Serial Number,LCRY2101C02669,,-29.98800000000,0.00,0.07920
Software Version,2.06.02.19,,-29.98600250000,0.00,0.07920
,,,-29.98400000000,0.00,0.03960
,,,-29.98200250000,0.00,0.07920
,,,-29.98000250000,0.00,0.03960
,,,-29.97800000000,0.04000,0.03960
,,,-29.97600250000,0.00,0.03960
,,,-29.97400000000,0.00,0.03960
,,,-29.97200250000,0.00,0.03960
,,,-29.97000000000,0.00,0.03960
,,,-29.96800250000,0.00,0.03960
,,,-29.96600250000,0.00,0.03960
,,,-29.96400000000,0.00,0.03960
,,,-29.96200250000,0.00,0.07920
,,,-29.96000000000,0.00,0.07920
,,,-29.95800250000,0.00,0.03960
,,,-29.95600250000,0.00,0.03960
,,,-29.95400000000,0.00,0.03960
,,,-29.95200250000,0.00,0.03960
,,,-29.95000000000,0.00,0.03960
,,,-29.94800250000,0.00,0.03960
,,,-29.94600000000,0.00,0.07920
,,,-29.94400250000,0.00,0.07920
,,,-29.94200250000,0.00,0.03960
,,,-29.94000000000,0.00,0.03960
,,,-29.93800250000,0.00,0.03960
,,,-29.93600000000,0.00,0.03960
,,,-29.93400250000,0.00,0.03960
,,,-29.93200000000,0.00,0.03960
,,,-29.93000250000,0.00,0.07920
,,,-29.92800250000,0.00,0.07920
,,,-29.92600000000,0.00,0.03960
,,,-29.92400250000,0.00,0.03960
,,,-29.92200000000,0.00,0.03960
,,,-29.92000250000,0.00,0.03960
,,,-29.91800000000,0.00,0.03960
,,,-29.91600250000,0.00,0.03960
,,,-29.91400250000,0.00,0.07920
,,,-29.91200000000,0.00,0.07920
,,,-29.91000250000,0.00,0.03960
,,,-29.90800000000,0.00,0.03960
,,,-29.90600250000,0.00,0.03960
,,,-29.90400000000,0.00,0.03960
,,,-29.90200250000,0.00,0.03960
,,,-29.90000250000,0.00,0.03960
,,,-29.89800000000,0.00,0.07920
,,,-29.89600250000,0.00,0.07920
,,,-29.89400000000,0.00,0.03960
,,,-29.89200250000,0.00,0.03960
,,,-29.89000250000,0.00,0.03960
,,,-29.88800000000,0.00,0.03960
,,,-29.88600250000,0.00,0.03960
,,,-29.88400000000,0.00,0.03960
,,,-29.88200250000,0.00,0.07920
,,,-29.88000000000,0.00,0.07920
,,,-29.87800250000,0.00,0.03960
,,,-29.87600250000,0.00,0.03960
,,,-29.87400000000,0.00,0.03960
,,,-29.87200250000,0.00,0.03960
,,,-29.87000000000,0.00,0.03960
,,,-29.86800250000,0.00,0.03960
,,,-29.86600000000,0.00,0.07920
,,,-29.86400250000,0.00,0.07920
,,,-29.86200250000,0.00,0.03960
,,,-29.86000000000,0.00,0.03960
,,,-29.85800250000,0.00,0.03960
,,,-29.85600000000,0.00,0.03960
,,,-29.85400250000,0.00,0.03960
,,,-29.85200000000,0.00,0.03960
,,,-29.85000250000,0.00,0.07920
,,,-29.84800250000,0.00,0.07920
,,,-29.84600000000,0.00,0.03960
,,,-29.84400250000,0.00,0.03960
,,,-29.84200000000,0.00,0.03960
,,,-29.84000250000,0.00,0.03960
,,,-29.83800250000,0.00,0.03960
,,,-29.83600250000,0.00,0.03960
,,,-29.83400250000,0.00,0.07920
,,,-29.83200000000,0.00,0.07920
,,,-29.83000250000,0.00,0.03960
,,,-29.82800000000,0.00,0.03960
,,,-29.82600250000,0.00,0.03960
,,,-29.82400250000,0.00,0.03960
,,,-29.82200000000,0.00,0.03960
,,,-29.82000250000,0.00,0.03960
,,,-29.81800000000,0.00,0.07920
,,,-29.81600250000,0.00,0.07920
,,,-29.81400000000,0.00,0.03960
,,,-29.81200250000,0.00,0.03960
,,,-29.81000250000,0.00,0.03960
,,,-29.80800000000,0.00,0.03960
,,,-29.80600250000,0.00,0.03960
,,,-29.80400000000,0.00,0.03960
,,,-29.80200250000,0.00,0.03960
,,,-29.80000000000,0.00,0.03960
,,,-29.79800250000,0.00,0.07920
,,,-29.79600250000,-0.04000,0.03960
,,,-29.79400000000,0.00,0.07920
,,,-29.79200250000,0.00,0.03960
,,,-29.79000000000,0.00,0.07920
,,,-29.78800250000,0.00,0.03960
,,,-29.78600000000,0.00,0.03960
,,,-29.78400250000,0.00,0.03960
,,,-29.78200250000,0.00,0.07920
,,,-29.78000000000,0.00,0.07920
,,,-29.77800250000,-0.04000,0.07920
,,,-29.77600000000,0.00,0.03960
,,,-29.77400250000,0.00,0.03960
,,,-29.77200250000,0.00,0.03960
,,,-29.77000250000,0.00,0.07920
,,,-29.76800250000,0.00,0.03960
,,,-29.76600000000,0.04000,0.03960
,,,-29.76400250000,0.00,0.03960
,,,-29.76200000000,0.00,0.03960
,,,-29.76000250000,0.00,0.03960
,,,-29.75800250000,-0.04000,0.03960
,,,-29.75600000000,0.00,0.03960
,,,-29.75400250000,0.00,0.03960
,,,-29.75200000000,0.00,0.03960
,,,-29.75000250000,0.04000,0.03960
,,,-29.74800000000,-0.04000,0.03960
,,,-29.74600250000,0.00,0.03960
,,,-29.74400250000,0.00,0.03960
,,,-29.74200000000,0.00,0.03960
,,,-29.74000250000,-0.04000,0.03960
,,,-29.73800000000,0.00,0.03960
,,,-29.73600250000,0.00,0.07920
,,,-29.73400000000,0.04000,0.03960
,,,-29.73200250000,0.00,0.03960
,,,-29.73000250000,0.00,0.07920
,,,-29.72800000000,0.00,0.03960
,,,-29.72600250000,0.00,0.03960
,,,-29.72400000000,-0.04000,0.03960
,,,-29.72200250000,0.00,0.07920
,,,-29.72000000000,0.00,0.03960
,,,-29.71800250000,0.00,0.03960
,,,-29.71600250000,0.00,0.00
,,,-29.71400000000,0.04000,0.07920
,,,-29.71200250000,0.00,0.03960
,,,-29.71000000000,0.00,0.03960
,,,-29.70800250000,-0.04000,0.03960
,,,-29.70600250000,0.00,0.03960
,,,-29.70400000000,0.00,0.03960
,,,-29.70200250000,0.00,0.03960
,,,-29.70000000000,-0.04000,0.03960
,,,-29.69800250000,0.00,0.03960
,,,-29.69600000000,0.00,0.03960
,,,-29.69400250000,0.00,0.03960
,,,-29.69200250000,0.00,0.03960
,,,-29.69000000000,0.00,0.03960
,,,-29.68800250000,0.00,0.03960
,,,-29.68600000000,0.00,0.03960
,,,-29.68400250000,0.00,0.03960
,,,-29.68200000000,0.00,0.03960
,,,-29.68000250000,0.00,0.07920
,,,-29.67800250000,0.00,0.03960
,,,-29.67600000000,0.00,0.03960
,,,-29.67400250000,0.00,0.03960
,,,-29.67200000000,0.00,0.03960
,,,-29.67000250000,0.00,0.07920
,,,-29.66800000000,0.00,0.03960
,,,-29.66600250000,0.00,0.03960
,,,-29.66400250000,0.00,0.03960
,,,-29.66200000000,0.00,0.07920
,,,-29.66000250000,0.00,0.03960
,,,-29.65800000000,0.00,0.03960
,,,-29.65600250000,0.00,0.03960
,,,-29.65400000000,0.04000,0.03960
,,,-29.65200250000,0.00,0.03960
,,,-29.65000250000,0.00,0.03960
,,,-29.64800000000,0.00,0.03960
,,,-29.64600250000,0.04000,0.03960
,,,-29.64400000000,0.00,0.03960
,,,-29.64200250000,0.00,0.03960
,,,-29.64000250000,0.00,0.03960
,,,-29.63800000000,0.00,0.03960
,,,-29.63600250000,0.00,0.07920
,,,-29.63400000000,0.00,0.03960
,,,-29.63200250000,0.00,0.07920
,,,-29.63000000000,0.00,0.03960
,,,-29.62800250000,0.00,0.07920
,,,-29.62600250000,0.00,0.03960
,,,-29.62400000000,0.00,0.07920
,,,-29.62200250000,0.00,0.03960
,,,-29.62000000000,0.00,0.03960
,,,-29.61800250000,0.04000,0.03960
,,,-29.61600000000,0.00,0.03960
,,,-29.61400250000,0.00,0.03960
,,,-29.61200250000,0.00,0.03960
,,,-29.61000000000,0.00,0.03960
,,,-29.60800250000,0.00,0.03960
,,,-29.60600000000,0.00,0.03960
,,,-29.60400250000,0.00,0.03960
,,,-29.60200000000,0.00,0.03960
,,,-29.60000250000,0.00,0.07920
,,,-29.59800250000,0.00,0.03960
